id	external_id	link
SPCC553.02.1	GO:0005634	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005634">GO:0005634</a>
SPCC736.03c.1	GO:0005739	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005739">GO:0005739</a>
SPCC736.03c.1	GO:0004826	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0004826">GO:0004826</a>
SPCC736.03c.1	GO:0006432	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0006432">GO:0006432</a>
SPCC736.04c.1	GO:0042125	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0042125">GO:0042125</a>
SPCC736.04c.1	GO:0009272	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0009272">GO:0009272</a>
SPCC736.04c.1	GO:0006493	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0006493">GO:0006493</a>
SPCC736.04c.1	GO:0006487	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0006487">GO:0006487</a>
SPCC736.04c.1	GO:0000139	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0000139">GO:0000139</a>
SPCC736.04c.1	GO:0031278	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0031278">GO:0031278</a>
SPCC736.06.1	GO:0004815	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0004815">GO:0004815</a>
SPCC736.06.1	GO:0070146	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0070146">GO:0070146</a>
SPCC736.07c.1	GO:0001731	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0001731">GO:0001731</a>
SPCC736.07c.1	GO:1990113	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:1990113">GO:1990113</a>
SPCC736.07c.1	GO:1990114	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:1990114">GO:1990114</a>
SPCC736.07c.1	GO:1990115	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:1990115">GO:1990115</a>
SPCC736.08.1	GO:0005634	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005634">GO:0005634</a>
SPCC736.08.1	GO:0043565	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0043565">GO:0043565</a>
SPCC736.08.1	GO:0045944	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0045944">GO:0045944</a>
SPCC736.09c.1	GO:0005515	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005515">GO:0005515</a>
SPCC736.09c.1	GO:0000724	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0000724">GO:0000724</a>
SPCC736.09c.1	GO:0006303	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0006303">GO:0006303</a>
SPCC736.10c.1	GO:0003735	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0003735">GO:0003735</a>
SPCC736.10c.1	GO:0032543	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0032543">GO:0032543</a>
SPCC736.10c.1	GO:0005763	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005763">GO:0005763</a>
SPCC736.11.1	GO:0033167	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0033167">GO:0033167</a>
SPCC736.11.1	GO:0030958	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0030958">GO:0030958</a>
SPCC736.11.1	GO:0031934	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0031934">GO:0031934</a>
SPCC736.11.1	GO:1990707	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:1990707">GO:1990707</a>
SPCC736.11.1	GO:0005515	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005515">GO:0005515</a>
SPCC736.11.1	GO:0030702	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0030702">GO:0030702</a>
SPCC736.11.1	GO:0030466	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0030466">GO:0030466</a>
SPCC736.11.1	GO:0006348	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0006348">GO:0006348</a>
SPCC736.11.1	GO:0051570	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0051570">GO:0051570</a>
